index	title	original_title	creator	creator_lifespan	creator_nationality	date_created	location_created	medium	object_type	aspect_ratio	aspect_ratio_standard	orientation	master_width_px	master_height_px	megapixels	focal_anchors_count	physical_dimensions_raw	parsed_height_cm	parsed_width_cm	parsed_depth_cm	resolution_density_dpi	partner_name	partner_city_country	partner_website	partner_lat	partner_long	inventory_number	external_catalog_url	rights	art_movements	tags_and_topics	dominant_color	wikidata_qid	wikipedia_url	commons_image_url	asset_id	link
762	Town Radkersburg (Radgona)		Ferdinand Runk			1810				1.312	4:3 (Standard)	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Austria, Castle, Watercolor painting	#c5c1b8				5gFrDk-phLG6Gw	https://artsandculture.google.com/asset/town-radkersburg-radgona-ferdinand-runk/5gFrDk-phLG6Gw
761	Train station in Adelsberg (Postojna)					1857				1.43	1.43:1	Landscape	2511	1756	4.41	1						National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Train	#d4c2ae				fgGqudjaP1MVnw	https://artsandculture.google.com/asset/train-station-in-adelsberg-postojna/fgGqudjaP1MVnw
760	Town Marburg (Maribor)		Johann Friedrich Kaiser			okoli 1820				1.4068	1.41:1	Landscape	2151	1529	3.29	1						National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Engraving, Maribor, Slovenia	#e8dacd				RgH3-nxTcowHxA	https://artsandculture.google.com/asset/town-marburg-maribor-johann-friedrich-kaiser/RgH3-nxTcowHxA
759	Lake Cerknica		Janez Vajkard Valvasor			1679				1.7642	16:9 (Widescreen)	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Cerknica, Engraving, Lake Cerknica, Slovenia	#cdc3b2				BAEZJaqLxVetsQ	https://artsandculture.google.com/asset/lake-cerknica-janez-vajkard-valvasor/BAEZJaqLxVetsQ
758	Topography Ducatus Carnioliae modernae		Janez Vajkard Valvasor			1679				1.5643	16:10	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Engraving	#d6c9b7				0gEBy8Hf-5ksNg	https://artsandculture.google.com/asset/topography-ducatus-carnioliae-modernae-janez-vajkard-valvasor/0gEBy8Hf-5ksNg
757	Map Ducatus Carnioliae Tabula Chorographica		Janez Dizma Florjančič			1744				1.4081	1.41:1	Landscape	5000	3551	17.75	2						National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Botany, Map	#d6c2a7				xQFMISDp54L5lg	https://artsandculture.google.com/asset/map-ducatus-carnioliae-tabula-chorographica-janez-dizma-florjan%C4%8Di%C4%8D/xQFMISDp54L5lg
756	Map Ducatus Carnioliae Tabula Chorographica		Janez Dizma Florjančič			1744				1.3754	1.38:1	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Geography, Map	#ede0c7				_QGtaiXNxSYMzw	https://artsandculture.google.com/asset/map-ducatus-carnioliae-tabula-chorographica-janez-dizma-florjan%C4%8Di%C4%8D/_QGtaiXNxSYMzw
755	Map Ducatus Carnioliae Tabula Chorographica		Janez Dizma Florjančič			1744				1.375	1.38:1	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Geography, Hiking, Map, Mountain	#eedec6				xgE8eNOUxmMQZA	https://artsandculture.google.com/asset/map-ducatus-carnioliae-tabula-chorographica-janez-dizma-florjan%C4%8Di%C4%8D/xgE8eNOUxmMQZA
754	Styriae Ducatus Fertilissimi Nova Geographica Descriptio		Georg Matthaeus Vischer			1678				1.1161	1.12:1	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Map	#a79d7d				JwFKMBF5fQhnZg	https://artsandculture.google.com/asset/styriae-ducatus-fertilissimi-nova-geographica-descriptio-georg-matthaeus-vischer/JwFKMBF5fQhnZg
753	Danube, the longest river in Europe		Johann Jansson			1656				0.654	2:3 (Portrait)	Portrait										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Ink	#58544e				YwHIcym1keaDcg	https://artsandculture.google.com/asset/danube-the-longest-river-in-europe-johann-jansson/YwHIcym1keaDcg
752	Map of the World		Wilhelm Blaeu			1649				1.3051	4:3 (Standard)	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Amsterdam, Geography, Map, Netherlands	#a69b7d				zwG9gwv72zSR0A	https://artsandculture.google.com/asset/map-of-the-world-wilhelm-blaeu/zwG9gwv72zSR0A
751	Coromandel Coast		Johannes van KEULEN II			1753	Amsterdam	Copper engraving	Document	0.8565	0.86:1	Portrait					629 x 540 mm	62.9	54.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Copper, Engraving, Geography, India, Metal, Ocean	#f6dec2				XwG_TAty6vdOlQ	https://artsandculture.google.com/asset/coromandel-coast-johannes-van-keulen-ii/XwG_TAty6vdOlQ
750	Konkan, Kanara and Malabar Coasts		Johannes van KEULEN II			1753	Amsterdam	Copper engraving	Document	1.1506	1.15:1	Landscape					62.9 x 54 cm	62.9	54.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Copper, Engraving, India, Map, Metal	#f9e5c9				WAHD15GSrOsNMA	https://artsandculture.google.com/asset/konkan-kanara-and-malabar-coasts-johannes-van-keulen-ii/WAHD15GSrOsNMA
749	Typus orbis terrarum : domini est terra & plenitudo ejus, orbis terrarum, & universi qui habitant in eo. Psalmo 24		Mercator, Gerhard			1607/1607				1.3398	4:3 (Standard)	Landscape					18 x 23 cm	18.0	23.0			Library of Virginia	Richmond, VA, United States	http://www.lva.virginia.gov/	37.541616	-77.433761					Amsterdam, Geography, Map, Netherlands	#ccbb9a				-AH5PhxlFYGojQ	https://artsandculture.google.com/asset/typus-orbis-terrarum-domini-est-terra-plenitudo-ejus-orbis-terrarum-universi-qui-habitant-in-eo-psalmo-24-mercator-gerhard/-AH5PhxlFYGojQ
748	America Sive Novvs Orbis Respectv Evropaeorvm Inferior Globi Terrestris Pars		de Bry, Theodore			1596/1596				1.2236	1.22:1	Landscape	4700	3841	18.05	4	33 x 41 cm	33.0	41.0		291.2	Library of Virginia	Richmond, VA, United States	http://www.lva.virginia.gov/	37.541616	-77.433761					Cooking, Map	#d2c7af				wgGswUAiAQJvKg	https://artsandculture.google.com/asset/america-sive-novvs-orbis-respectv-evropaeorvm-inferior-globi-terrestris-pars-de-bry-theodore/wgGswUAiAQJvKg
747	Americae Sive Novi Orbis, Nova Descriptio		Ortelius, Abraham			1587/1587				1.2789	1.28:1	Landscape					44 x 56 cm	44.0	56.0			Library of Virginia	Richmond, VA, United States	http://www.lva.virginia.gov/	37.541616	-77.433761					Antwerp, Belgium, Map	#edddbe				6QFjRKiOOV9Oow	https://artsandculture.google.com/asset/americae-sive-novi-orbis-nova-descriptio-ortelius-abraham/6QFjRKiOOV9Oow
746	The Road from London to Harwich in Essex		Ogilby, John			1675/1675				1.2318	1.23:1	Landscape					38 x 47 cm	38.0	47.0			Library of Virginia	Richmond, VA, United States	http://www.lva.virginia.gov/	37.541616	-77.433761					England, Harwich, London, Map, United Kingdom	#d1c0a2				UAHhhwY8tztdbA	https://artsandculture.google.com/asset/the-road-from-london-to-harwich-in-essex-ogilby-john/UAHhhwY8tztdbA
